seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	22778042	22778086	45	*	X0072	9923	22778344	22857650	79307	+	257	upstream	257	ZBTB40
chr1	22778316	22778564	249	*	X0073	9923	22778344	22857650	79307	+	0	overlapStart	0	ZBTB40
chr1	23345762	23346057	296	*	X0074	23028	23345941	23410184	64244	+	0	overlapStart	0	KDM1A
chr1	23670690	23670774	85	*	X0075	10236	23636276	23670853	34578	-	0	inside	78	HNRNPR
chr1	23695395	23695413	19	*	X0076	148898	23695464	23698330	2867	+	50	upstream	50	ZNF436-AS1
chr1	24018214	24018431	218	*	X0077	6135	24018269	24022915	4647	+	0	overlapStart	0	RPL11
chr1	24069984	24070103	120	*	X0078	6924	24069856	24088549	18694	+	0	inside	127	ELOA
chr1	24117592	24117607	16	*	X0079	11313	24117646	24122029	4384	+	38	upstream	38	LYPLA2
chr1	24285557	24285599	43	*	X0081	55629	24286301	24289949	3649	+	701	upstream	701	PNRC2
chr1	24286245	24286266	22	*	X0082	55629	24286301	24289949	3649	+	34	upstream	34	PNRC2
chr1	24969273	24969352	80	*	X0084	10250	24969594	24999772	30179	+	241	upstream	241	SRRM1
chr1	24969377	24969491	115	*	X0085	10250	24969594	24999772	30179	+	102	upstream	102	SRRM1
chr1	24969762	24969901	140	*	X0086	10250	24969594	24999772	30179	+	0	inside	167	SRRM1
chr1	25664762	25664792	31	*	X0090	23585	25664789	25688852	24064	+	0	overlapStart	0	TMEM50A
chr1	25664762	25664792	31	*	X0090	57035	25568740	25664656	95917	-	105	upstream	105	RSRP1
chr1	25664853	25664965	113	*	X0091	23585	25664789	25688852	24064	+	0	inside	63	TMEM50A
chr1	25664853	25664965	113	*	X0091	57035	25568740	25664656	95917	-	196	upstream	196	RSRP1
chr1	25756777	25756790	14	*	X0092	55219	25757388	25826698	69311	+	597	upstream	597	MACO1
chr1	25756777	25756790	14	*	X0092	6006	25688740	25756683	67944	-	93	upstream	93	RHCE
chr1	25756874	25756921	48	*	X0093	55219	25757388	25826698	69311	+	466	upstream	466	MACO1
chr1	25756874	25756921	48	*	X0093	6006	25688740	25756683	67944	-	190	upstream	190	RHCE
chr1	26146395	26146524	130	*	X0094	56181	26146397	26159433	13037	+	0	overlapStart	0	MTFR1L
chr1	26185752	26185902	151	*	X0095	79000	26160497	26185848	25352	-	0	overlapStart	0	AUNIP
chr1	26232799	26232988	190	*	X0097	100500808	26232853	26232945	93	-	0	includeFeature	0	MIR3917
chr1	26324504	26324567	64	*	X0098	5051	26286258	26324648	38391	-	0	inside	80	PAFAH2
chr1	26324846	26325018	173	*	X0099	5051	26286258	26324648	38391	-	197	upstream	197	PAFAH2
chr1	26496389	26496466	78	*	X0100	51042	26496388	26497364	977	+	0	inside	0	ZNF593
chr1	26758689	26758719	31	*	X0101	79947	26758773	26797795	39023	+	53	upstream	53	DHDDS
chr1	26758785	26758883	99	*	X0102	79947	26758773	26797795	39023	+	0	inside	11	DHDDS
chr1	27114244	27114357	114	*	X0106	55650	27114454	27124894	10441	+	96	upstream	96	PIGV
chr1	27216532	27216575	44	*	X0107	54707	27205873	27216869	10997	-	0	inside	293	GPN2
chr1	27216721	27216735	15	*	X0108	54707	27205873	27216869	10997	-	0	inside	133	GPN2
chr1	27248324	27248349	26	*	X0109	10726	27248213	27273362	25150	+	0	inside	110	NUDC
chr1	27481612	27481768	157	*	X0110	6548	27425300	27481621	56322	-	0	overlapStart	0	SLC9A1
chr1	27561045	27561210	166	*	X0111	23038	27561007	27635124	74118	+	0	inside	37	WDTC1
chr1	27648848	27648980	133	*	X0112	644961	27650365	27653016	2652	+	1384	upstream	1384	ACTG1P20
chr1	27648848	27648980	133	*	X0112	84065	27648636	27662891	14256	+	0	inside	211	TMEM222
chr1	27930285	27930334	50	*	X0113	27245	27860756	27930361	69606	-	0	inside	26	AHDC1
chr1	27930353	27930431	79	*	X0114	27245	27860756	27930361	69606	-	0	overlapStart	0	AHDC1
chr1	27930478	27930686	209	*	X0115	27245	27860756	27930361	69606	-	116	upstream	116	AHDC1
chr1	28157105	28157448	344	*	X0116	5511	28157252	28178183	20932	+	0	overlapStart	0	PPP1R8
chr1	28241142	28241176	35	*	X0117	6118	28218049	28241236	23188	-	0	inside	59	RPA2
chr1	28559524	28559553	30	*	X0118	22826	28526790	28559542	32753	-	0	overlapStart	0	DNAJC8
chr1	28559580	28559681	102	*	X0119	22826	28526790	28559542	32753	-	37	upstream	37	DNAJC8
chr1	28655240	28655255	16	*	X0120	54797	28655513	28662478	6966	+	257	upstream	257	MED18
chr1	28655348	28655723	376	*	X0121	54797	28655513	28662478	6966	+	0	overlapStart	0	MED18
chr1	28696188	28696359	172	*	X0122	65979	28696093	28826881	130789	+	0	inside	94	PHACTR4
chr1	28879353	28879404	52	*	X0126	54952	28879529	28905057	25529	+	124	upstream	124	TRNAU1AP
chr1	28879585	28879687	103	*	X0127	54952	28879529	28905057	25529	+	0	inside	55	TRNAU1AP
chr1	28879754	28879767	14	*	X0128	54952	28879529	28905057	25529	+	0	inside	224	TRNAU1AP
chr1	28907975	28908363	389	*	X0129	677825	28906893	28907024	132	-	950	upstream	950	SNORA44
chr1	28907975	28908363	389	*	X0129	677838	28906276	28906405	130	-	1569	upstream	1569	SNORA61
chr1	28907975	28908363	389	*	X0129	692073	28907432	28907565	134	-	409	upstream	409	SNORA16A
chr1	28907975	28908363	389	*	X0129	85028	28905050	28908383	3334	-	0	inside	19	SNHG12
chr1	28908501	28908664	164	*	X0130	677825	28906893	28907024	132	-	1476	upstream	1476	SNORA44
chr1	28908501	28908664	164	*	X0130	692073	28907432	28907565	134	-	935	upstream	935	SNORA16A
chr1	28908501	28908664	164	*	X0130	85028	28905050	28908383	3334	-	117	upstream	117	SNHG12
chr1	28969434	28969767	334	*	X0131	6883	28929609	28969604	39996	-	0	overlapStart	0	TAF12
chr1	28974991	28975726	736	*	X0132	26824	28975112	28975246	135	+	0	includeFeature	0	RNU11
chr1	28995197	28995207	11	*	X0133	10691	28995240	29042115	46876	+	32	upstream	32	GMEB1
chr1	29063165	29063654	490	*	X0134	51441	29063133	29096287	33155	+	0	inside	31	YTHDF2
chr1	31538446	31538650	205	*	X0139	9698	31404353	31538763	134411	-	0	inside	112	PUM1
chr1	32479424	32479571	148	*	X0140	10657	32479295	32526460	47166	+	0	inside	128	KHDRBS1
chr1	32538354	32538423	70	*	X0142	55116	32538503	32568467	29965	+	79	upstream	79	TMEM39B
chr1	32538524	32538674	151	*	X0143	55116	32538503	32568467	29965	+	0	inside	20	TMEM39B
chr1	32573621	32573714	94	*	X0144	23633	32573644	32642168	68525	+	0	overlapStart	0	KPNA6
chr1	32573756	32573774	19	*	X0145	23633	32573644	32642168	68525	+	0	inside	111	KPNA6
chr1	32645255	32645500	246	*	X0146	200081	32645345	32663886	18542	+	0	overlapStart	0	TXLNA
chr1	32757398	32757523	126	*	X0147	3065	32757708	32799224	41517	+	184	upstream	184	HDAC1
chr1	32757746	32758067	322	*	X0148	3065	32757708	32799224	41517	+	0	inside	37	HDAC1
chr1	32860216	32860280	65	*	X0149	55108	32830705	32860062	29358	-	153	upstream	153	BSDC1
chr1	32860326	32860427	102	*	X0150	55108	32830705	32860062	29358	-	263	upstream	263	BSDC1
chr1	33116623	33116670	48	*	X0151	339487	33065773	33116185	50413	-	437	upstream	437	ZBTB8OS
chr1	33116623	33116670	48	*	X0151	5928	33116749	33151812	35064	+	78	upstream	78	RBBP4
chr1	33116755	33116956	202	*	X0152	339487	33065773	33116185	50413	-	569	upstream	569	ZBTB8OS
chr1	33116755	33116956	202	*	X0152	5928	33116749	33151812	35064	+	0	inside	5	RBBP4
chr1	33282835	33283213	379	*	X0153	64766	33283043	33324480	41438	+	0	overlapStart	0	S100PBP
chr1	33502389	33502470	82	*	X0154	204	33473541	33502512	28972	-	0	inside	41	AK2
chr1	33502482	33502513	32	*	X0155	204	33473541	33502512	28972	-	0	overlapStart	0	AK2
chr1	33722440	33722711	272	*	X0158	149076	33722174	33766320	44147	+	0	inside	265	ZNF362
chr1	35497646	35497671	26	*	X0160	9204	35449368	35497569	48202	-	76	upstream	76	ZMYM6
chr1	35658276	35658536	261	*	X0162	6421	35649201	35658743	9543	-	0	inside	206	SFPQ
chr1	35658552	35658739	188	*	X0163	6421	35649201	35658743	9543	-	0	inside	3	SFPQ
chr1	35734266	35734330	65	*	X0164	9202	35734568	35887545	152978	+	237	upstream	237	ZMYM4
chr1	35734383	35734405	23	*	X0165	9202	35734568	35887545	152978	+	162	upstream	162	ZMYM4
chr1	36023345	36023352	8	*	X0166	23154	36023393	36032380	8988	+	40	upstream	40	NCDN
chr1	36023345	36023352	8	*	X0166	79932	35899091	36023551	124461	-	0	inside	198	KIAA0319L
chr1	36107053	36107237	185	*	X0167	5690	36035413	36107445	72033	-	0	inside	207	PSMB2
chr1	36863403	36863491	89	*	X0173	84967	36859031	36863493	4463	-	0	inside	1	LSM10
chr1	36863506	36863544	39	*	X0174	84967	36859031	36863493	4463	-	12	upstream	12	LSM10
chr1	36929803	36930172	370	*	X0175	64960	36921362	36930040	8679	-	0	overlapStart	0	MRPS15
chr1	37980501	37980570	70	*	X0176	64769	37955561	37980420	24860	-	80	upstream	80	MEAF6
chr1	38020090	38020140	51	*	X0177	79753	38000050	38019945	19896	-	144	upstream	144	SNIP1
chr1	38455526	38455757	232	*	X0178	10946	38422652	38455761	33110	-	0	inside	3	SF3A3
chr1	38455887	38455986	100	*	X0179	10946	38422652	38455761	33110	-	125	upstream	125	SF3A3
chr1	38477938	38477959	22	*	X0180	51118	38478384	38490497	12114	+	424	upstream	424	UTP11
chr1	38478001	38478014	14	*	X0181	51118	38478384	38490497	12114	+	369	upstream	369	UTP11
chr1	38478042	38478155	114	*	X0182	51118	38478384	38490497	12114	+	228	upstream	228	UTP11
chr1	40204299	40204380	82	*	X0186	10450	40204517	40229586	25070	+	136	upstream	136	PPIE
chr1	40204540	40204554	15	*	X0187	10450	40204517	40229586	25070	+	0	inside	22	PPIE
chr1	40348974	40349274	301	*	X0188	54802	40306706	40349177	42472	-	0	overlapStart	0	TRIT1
chr1	40562826	40562921	96	*	X0189	5538	40538382	40563142	24761	-	0	inside	220	PPT1
chr1	40626915	40627210	296	*	X0190	6018	40627041	40706593	79553	+	0	overlapStart	0	RLF
chr1	40627248	40627281	34	*	X0191	6018	40627041	40706593	79553	+	0	inside	206	RLF
chr1	40723384	40723694	311	*	X0193	10269	40723722	40759856	36135	+	27	upstream	27	ZMPSTE24
chr1	40723816	40724046	231	*	X0194	10269	40723722	40759856	36135	+	0	inside	93	ZMPSTE24
chr1	40915923	40915952	30	*	X0195	65243	40915774	40929390	13617	+	0	inside	148	ZFP69B
chr1	41157240	41157271	32	*	X0196	4802	41157242	41237276	80035	+	0	overlapStart	0	NFYC
chr1	41157304	41157561	258	*	X0197	4802	41157242	41237276	80035	+	0	inside	61	NFYC
chr1	41157807	41157983	177	*	X0198	100130557	41154752	41157933	3182	-	0	overlapStart	0	NFYC-AS1
chr1	42922015	42922115	101	*	X0200	79717	42922173	42926086	3914	+	57	upstream	57	PPCS
chr1	42922015	42922115	101	*	X0200	84217	42896001	42921938	25938	-	76	upstream	76	ZMYND12
chr1	42922135	42922177	43	*	X0201	79717	42922173	42926086	3914	+	0	overlapStart	0	PPCS
chr1	42922135	42922177	43	*	X0201	84217	42896001	42921938	25938	-	196	upstream	196	ZMYND12
chr1	42922314	42922368	55	*	X0202	79717	42922173	42926086	3914	+	0	inside	140	PPCS
chr1	42922314	42922368	55	*	X0202	84217	42896001	42921938	25938	-	375	upstream	375	ZMYND12
chr1	43123975	43124019	45	*	X0203	10465	43124048	43142429	18382	+	28	upstream	28	PPIH
chr1	43124064	43124161	98	*	X0204	10465	43124048	43142429	18382	+	0	inside	15	PPIH
chr1	43424714	43424800	87	*	X0207	440584	43424720	43449029	24310	+	0	overlapStart	0	SLC2A1-AS1
chr1	43424714	43424800	87	*	X0207	6513	43391046	43424847	33802	-	0	inside	46	SLC2A1
chr1	43996372	43996458	87	*	X0209	5792	43996547	44089343	92797	+	88	upstream	88	PTPRF
chr1	44678874	44678990	117	*	X0212	55929	44679125	44686351	7227	+	134	upstream	134	DMAP1
chr1	44679044	44679298	255	*	X0213	55929	44679125	44686351	7227	+	0	overlapStart	0	DMAP1
chr1	44870767	44871015	249	*	X0214	55182	44870960	45117396	246437	+	0	overlapStart	0	RNF220
chr1	44871123	44871143	21	*	X0215	55182	44870960	45117396	246437	+	0	inside	162	RNF220
chr1	45241076	45241127	52	*	X0219	26811	45241537	45241610	74	+	409	upstream	409	SNORD55
chr1	45241076	45241127	52	*	X0219	6202	45241246	45244412	3167	+	118	upstream	118	RPS8
chr1	45241076	45241127	52	*	X0219	94161	45242164	45242261	98	+	1036	upstream	1036	SNORD46
chr1	45241220	45241383	164	*	X0220	26811	45241537	45241610	74	+	153	upstream	153	SNORD55
chr1	45241220	45241383	164	*	X0220	6202	45241246	45244412	3167	+	0	overlapStart	0	RPS8
chr1	45241220	45241383	164	*	X0220	94161	45242164	45242261	98	+	780	upstream	780	SNORD46
chr1	45241499	45241573	75	*	X0221	26811	45241537	45241610	74	+	0	overlapStart	0	SNORD55
chr1	45241499	45241573	75	*	X0221	6202	45241246	45244412	3167	+	0	inside	252	RPS8
chr1	45241499	45241573	75	*	X0221	94161	45242164	45242261	98	+	590	upstream	590	SNORD46
chr1	45241499	45241573	75	*	X0221	94162	45243514	45243584	71	+	1940	upstream	1940	SNORD38A
chr1	45452137	45452446	310	*	X0224	8891	45316194	45452394	136201	-	0	overlapStart	0	EIF2B3
chr1	45805844	45805881	38	*	X0226	4595	45794914	45806142	11229	-	0	inside	260	MUTYH
chr1	46049609	46049960	352	*	X0227	4678	46049660	46084578	34919	+	0	overlapStart	0	NASP
chr1	46152131	46152228	98	*	X0229	51249	46153847	46160108	6262	+	1618	upstream	1618	TMEM69
chr1	46152131	46152228	98	*	X0229	60313	46092976	46152302	59327	-	0	inside	73	GPBP1L1
chr1	46153625	46153997	373	*	X0230	51249	46153847	46160108	6262	+	0	overlapStart	0	TMEM69
chr1	46153625	46153997	373	*	X0230	60313	46092976	46152302	59327	-	1322	upstream	1322	GPBP1L1
chr1	46713359	46713438	80	*	X0233	8438	46713367	46744145	30779	+	0	overlapStart	0	RAD54L
chr1	46768786	46769129	344	*	X0234	10489	46744072	46769038	24967	-	0	overlapStart	0	LRRC41
chr1	46768786	46769129	344	*	X0234	7388	46769380	46782447	13068	+	250	upstream	250	UQCRH
chr1	46769204	46769229	26	*	X0235	10489	46744072	46769038	24967	-	165	upstream	165	LRRC41
chr1	46769204	46769229	26	*	X0235	7388	46769380	46782447	13068	+	150	upstream	150	UQCRH
chr1	46769243	46769258	16	*	X0236	10489	46744072	46769038	24967	-	204	upstream	204	LRRC41
chr1	46769243	46769258	16	*	X0236	7388	46769380	46782447	13068	+	121	upstream	121	UQCRH
chr1	48937649	48937684	36	*	X0240	54558	48761044	48937876	176833	-	0	inside	191	SPATA6
chr1	52520759	52520778	20	*	X0241	91408	52521857	52556388	34532	+	1078	upstream	1078	BTF3L4
chr1	52520817	52520870	54	*	X0242	91408	52521857	52556388	34532	+	986	upstream	986	BTF3L4
chr1	53685896	53686335	440	*	X0245	54987	53679772	53686289	6518	-	0	overlapStart	0	CZIB
chr1	53686415	53686466	52	*	X0246	54987	53679772	53686289	6518	-	125	upstream	125	CZIB
chr1	53704124	53704271	148	*	X0247	100507564	53704282	53708455	4174	+	10	upstream	10	LOC100507564
chr1	53704124	53704271	148	*	X0247	4116	53692564	53704282	11719	-	0	inside	10	MAGOH
chr1	54304000	54304181	182	*	X0250	55706	54231134	54304225	73092	-	0	inside	43	NDC1
chr1	54411249	54411340	92	*	X0251	115353	54411999	54433841	21843	+	658	upstream	658	LRRC42
chr1	54411249	54411340	92	*	X0251	51668	54387234	54411288	24055	-	0	overlapStart	0	HSPB11
chr1	55181502	55181723	222	*	X0254	7268	55181495	55208328	26834	+	0	inside	6	TTC4
chr1	55352822	55352846	25	*	X0256	1718	55315300	55352921	37622	-	0	inside	74	DHCR24
chr1	57044912	57045176	265	*	X0257	8613	56960419	57045257	84839	-	0	inside	80	PLPP3
chr1	59012263	59012335	73	*	X0258	115209	58939504	59012446	72943	-	0	inside	110	OMA1
chr1	59012263	59012335	73	*	X0258	1600	57463579	59012446	1548868	-	0	inside	110	DAB1
chr1	59012347	59012414	68	*	X0259	115209	58939504	59012446	72943	-	0	inside	31	OMA1
chr1	59012347	59012414	68	*	X0259	1600	57463579	59012446	1548868	-	0	inside	31	DAB1
chr1	59165635	59165800	166	*	X0260	114803	59120411	59165747	45337	-	0	overlapStart	0	MYSM1
chr1	59249356	59249731	376	*	X0261	100131060	59250823	59365384	114562	+	1091	upstream	1091	LINC01135
chr1	59249356	59249731	376	*	X0261	3725	59246463	59249785	3323	-	0	inside	53	JUN
chr1	59250635	59250893	259	*	X0262	100131060	59250823	59365384	114562	+	0	overlapStart	0	LINC01135
chr1	59250635	59250893	259	*	X0262	3725	59246463	59249785	3323	-	849	upstream	849	JUN
chr1	59762143	59762200	58	*	X0263	55277	59762625	60228402	465778	+	424	upstream	424	FGGY
chr1	59762532	59762567	36	*	X0264	55277	59762625	60228402	465778	+	57	upstream	57	FGGY
chr1	59762602	59762689	88	*	X0265	55277	59762625	60228402	465778	+	0	overlapStart	0	FGGY
chr1	59762708	59762800	93	*	X0266	55277	59762625	60228402	465778	+	0	inside	82	FGGY
chr1	61542539	61542616	78	*	X0267	4774	61542946	61928460	385515	+	329	upstream	329	NFIA
chr1	61542769	61542798	30	*	X0268	4774	61542946	61928460	385515	+	147	upstream	147	NFIA
chr1	62190631	62190915	285	*	X0269	83941	62146719	62191095	44377	-	0	inside	179	TM2D1
chr1	62901797	62902068	272	*	X0270	7398	62901975	62917475	15501	+	0	overlapStart	0	USP1
chr1	63154106	63154300	195	*	X0273	85440	62920397	63154039	233643	-	66	upstream	66	DOCK7
chr1	63833476	63833533	58	*	X0274	29929	63833261	63904233	70973	+	0	inside	214	ALG6
chr1	63988772	63989260	489	*	X0275	23421	63906441	63988944	82504	-	0	overlapStart	0	ITGB3BP
chr1	63988772	63989260	489	*	X0275	84455	63989013	64038364	49352	+	0	overlapStart	0	EFCAB7
chr1	64059217	64059302	86	*	X0276	5236	64058947	64125916	66970	+	0	inside	269	PGM1
chr1	67519889	67519932	44	*	X0285	23169	67465015	67520080	55066	-	0	inside	147	SLC35D1
chr1	67895959	67896228	270	*	X0286	26135	67873493	67896123	22631	-	0	overlapStart	0	SERBP1
chr1	68150876	68151035	160	*	X0287	1647	68150860	68154021	3162	+	0	inside	15	GADD45A
chr1	68297901	68298064	164	*	X0290	100289178	68297971	68668670	370700	+	0	overlapStart	0	GNG12-AS1
chr1	68962659	68962815	157	*	X0291	55635	68939835	68962799	22965	-	0	overlapStart	0	DEPDC1
chr1	70671215	70671258	44	*	X0292	55631	70610485	70671361	60877	-	0	inside	102	LRRC40
chr1	70671215	70671258	44	*	X0292	9295	70671365	70717701	46337	+	106	upstream	106	SRSF11
chr1	70671271	70671491	221	*	X0293	55631	70610485	70671361	60877	-	0	overlapStart	0	LRRC40
chr1	70671271	70671491	221	*	X0293	9295	70671365	70717701	46337	+	0	overlapStart	0	SRSF11
chr1	70820219	70820604	386	*	X0295	11147	70820493	70833705	13213	+	0	overlapStart	0	HHLA3
chr1	70820219	70820604	386	*	X0295	81573	70724685	70820417	95733	-	0	overlapStart	0	ANKRD13C
chr1	70820825	70820872	48	*	X0296	81573	70724685	70820417	95733	-	407	upstream	407	ANKRD13C
chr1	70876898	70877043	146	*	X0297	1491	70876901	70905534	28634	+	0	overlapStart	0	CTH
chr1	74664003	74664113	111	*	X0298	100526835	74663896	75010116	346221	+	0	inside	106	FPGT-TNNI3K
chr1	74664003	74664113	111	*	X0298	127255	74491702	74663871	172170	-	131	upstream	131	LRRIQ3
chr1	74664003	74664113	111	*	X0298	8790	74663896	74674148	10253	+	0	inside	106	FPGT
chr1	76251794	76251828	35	*	X0300	26805	76253574	76253657	84	+	1745	upstream	1745	SNORD45A
chr1	76251794	76251828	35	*	X0300	5876	76251879	76260775	8897	+	50	upstream	50	RABGGTB
chr1	76251794	76251828	35	*	X0300	692085	76252757	76252834	78	+	928	upstream	928	SNORD45C
chr1	76251880	76252092	213	*	X0301	26805	76253574	76253657	84	+	1481	upstream	1481	SNORD45A
chr1	76251880	76252092	213	*	X0301	5876	76251879	76260775	8897	+	0	inside	0	RABGGTB
chr1	76251880	76252092	213	*	X0301	692085	76252757	76252834	78	+	664	upstream	664	SNORD45C
chr1	77685148	77685170	23	*	X0302	10026	77554667	77685132	130466	-	15	upstream	15	PIGK
chr1	78148541	78148837	297	*	X0304	26009	78030190	78149104	118915	-	0	inside	266	ZZZ3
chr1	78149259	78149278	20	*	X0305	26009	78030190	78149104	118915	-	154	upstream	154	ZZZ3
chr1	84464870	84464896	27	*	X0307	79739	84335057	84464833	129777	-	36	upstream	36	TTLL7
chr1	84464949	84465035	87	*	X0308	79739	84335057	84464833	129777	-	115	upstream	115	TTLL7
chr1	84543263	84543584	322	*	X0309	5567	84543745	84704181	160437	+	160	upstream	160	PRKACB
chr1	84764225	84764302	78	*	X0310	148418	84764049	84816481	52433	+	0	inside	175	SAMD13
chr1	84764338	84764365	28	*	X0311	148418	84764049	84816481	52433	+	0	inside	288	SAMD13
chr1	84944927	84944960	34	*	X0314	80135	84944920	84964033	19114	+	0	inside	6	RPF1
chr1	84944980	84945177	198	*	X0315	80135	84944920	84964033	19114	+	0	inside	59	RPF1
chr1	85725353	85725368	16	*	X0316	148423	85715637	85725355	9719	-	0	overlapStart	0	C1orf52
chr1	86046172	86046455	284	*	X0317	3491	86046444	86049648	3205	+	0	overlapStart	0	CCN1
